K_BEHIND_BALL_DEFENSIVE_LINE,K_KNOW_BALL_POS,K_KNOW_SELF_POS,K_COME_BALL,K_TARGET_IN_SHOT_RANGE,K_ON_TARGET_POS,K_BALL_AND_TARGET_ON_STRAIGHT_LINE,K_HAVE_BALL,K_BALL_IN_TARGET,K_BALL_IN_KICK_AREA,K_ENEMY_WITHIN_RANGE,K_IDLE,K_TRACKING_BALL,K_PERMITTED_INTRUSION_CIRCLE,K_SECONDARY_STATE_FREEZE,K_SECONDARY_STATE_DIRECT_FREEKICK,K_SECONDARY_STATE_KICK_TEAM_OWN,K_SIDE_ENTRY_STATE,K_ON_OUR_FIELD,K_GAME_STATE_READY,K_GAME_STATE_SET,K_GAME_STATE_PAUSED,K_GAME_STATE_READY_TO_ENTER,K_EXPLORE_AREA,PREV_TASK,TASK
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,None,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,TrackBall,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,ApproachTargetPosForGankenKun,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,Idling,WalkStraight
False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,WalkStraight,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,FindLandmarksToLocalize,SearchFarBall
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,TrackBallForDefender,FindLandmarksToLocalize
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,TrackBall,TrackBall
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,ApproachBallForGankenKun,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,Idling,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,Idling,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,True,Idling,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,Idling,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,Idling,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,Idling,WalkStraight
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,TrackBallForDefender,FindLandmarksToLocalize
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,TrackBall,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,SearchCloseBall,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,TrackBall
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,TrackBall,TrackBall
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,KickBallToTarget,FindLandmarksToLocalize
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,TrackBall,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,TrackBallForDefender,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,IdleKickoff,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,Idling,WalkStraight
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,WalkStraight,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,SearchCloseBall,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,KickBallToTarget,FindLandmarksToLocalize
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,TrackBall,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,TrackBall,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,FindLandmarksToLocalize,SearchFarBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,TrackBallForDefender,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachBallForGankenKun,FindLandmarksToLocalize
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,TrackBall,TrackBall
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,TrackBallForDefender,FindLandmarksToLocalize
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,KickBallToTarget,FindLandmarksToLocalize
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,ApproachTargetPosForGankenKun,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,TrackBall,TrackBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,TrackBall,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,FindLandmarksToLocalize,SearchFarBall
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,TrackBallForDefender,Idling
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,None,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,FindLandmarksToLocalize,ApproachTargetPosForGankenKun
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,ApproachTargetPosForGankenKun,FindLandmarksToLocalize
